BRNO,IS_WEEKEND,TIME_SLOT,VISITOR_COUNT,CONGESTION_LEVEL,TOTAL_PAYMENT_AMT,AVG_PAYMENT_AMT,STORE_NM,ROAD_NM_CD,ACTIVITY_TYPE_CD
1078204813.0,1,dawn,6,LOW,45000.0,22500.0,한국해운조합,2005007.0,3
1078549989.0,1,morning,4,LOW,4400.0,4400.0,세븐일레븐,3118001.0,1
1078555647.0,1,night,4,LOW,9440.0,9440.0,(주)다담리테일 화정점,3160065.0,2
1078611651.0,0,afternoon,2,LOW,36800.0,36800.0,더현대서울,2118001.0,1
1078611651.0,0,night,3,LOW,62500.0,62500.0,더현대서울,2118001.0,1
1078611651.0,1,night,4,LOW,78500.0,39250.0,더현대서울,2118001.0,1
1078657147.0,0,afternoon,40,HIGH,267300.0,10692.0,스토리웨이,2005008.0,2
1078657147.0,0,dawn,4,LOW,20300.0,6766.666666666667,스토리웨이,2005008.0,2
1078657147.0,0,morning,72,VERY_HIGH,250500.0,6958.333333333333,스토리웨이,2005008.0,2
1078657147.0,0,night,40,HIGH,255350.0,12159.52380952381,스토리웨이,2005008.0,2
1078657147.0,1,afternoon,65,HIGH,416800.0,14372.413793103447,스토리웨이,2005008.0,2
1078657147.0,1,dawn,5,LOW,28400.0,14200.0,스토리웨이,2005008.0,2
1078657147.0,1,morning,104,VERY_HIGH,377050.0,7694.897959183673,스토리웨이,2005008.0,2
1078657147.0,1,night,43,HIGH,256750.0,12226.190476190477,스토리웨이,2005008.0,2
1078813269.0,0,morning,4,LOW,10300.0,10300.0,트읫젤변산소노밸점,3280037.0,1
1078813269.0,1,afternoon,3,LOW,5800.0,5800.0,트읫젤변산소노밸점,3280037.0,1
1078813269.0,1,night,3,LOW,10300.0,10300.0,트읫젤변산소노밸점,3280037.0,1
1080563226.0,1,afternoon,1,LOW,17000.0,17000.0,올어바웃 카스테라,4538427.0,1
1080582446.0,1,night,2,LOW,32000.0,32000.0,오븐에빠진닭 ,3252015.0,1
1080927913.0,1,afternoon,4,LOW,21000.0,10500.0,Cafe HighClass,4646355.0,1
1081142770.0,0,morning,2,LOW,19300.0,19300.0,파리바게뜨,3121017.0,1
1082154576.0,0,afternoon,1,LOW,5000.0,5000.0,컴포즈커피,3253028.0,2
1082442431.0,0,night,2,LOW,8300.0,8300.0,정다운슈퍼,4604684.0,1
1082823238.0,0,afternoon,2,LOW,16000.0,16000.0,란,3270044.0,1
1082823238.0,1,night,2,LOW,16000.0,16000.0,란,3270044.0,1
1083719696.0,1,afternoon,1,LOW,22000.0,22000.0,케렌시아,4586134.0,1
1084632027.0,1,morning,2,LOW,26000.0,26000.0,행복한 한끼,4646361.0,1
1088512165.0,0,morning,4,LOW,60000.0,60000.0,현대오일뱅크(주)직영 사당셀프주유소,2005009.0,6
1088532929.0,1,night,2,LOW,8300.0,8300.0,맥도날드,3119011.0,1
1088536662.0,0,afternoon,5,LOW,117500.0,39166.666666666664,치앙마이 방콕,4292510.0,1
1088536662.0,0,morning,1,LOW,25500.0,25500.0,치앙마이 방콕,4292510.0,1
1088536662.0,1,afternoon,3,LOW,115000.0,57500.0,치앙마이 방콕,4292510.0,1
1088536662.0,1,night,2,LOW,42500.0,42500.0,치앙마이 방콕,4292510.0,1
1088802237.0,1,afternoon,4,LOW,15300.0,15300.0,이마트24,4518051.0,2
1092070422.0,0,morning,2,LOW,2500.0,2500.0,PNB 풍년제과,4598258.0,2
1092070422.0,0,night,10,MEDIUM,124600.0,41533.333333333336,PNB 풍년제과,4598258.0,2
1092070422.0,1,afternoon,8,LOW,73100.0,24366.666666666668,PNB 풍년제과,4598258.0,2
1092385566.0,1,night,2,LOW,91000.0,91000.0,쪽쪽갈비,4646590.0,1
1092897636.0,0,night,2,LOW,18300.0,18300.0,CU,4301269.0,2
1092951184.0,1,night,2,LOW,8000.0,8000.0,롤링인더도그,4292393.0,1
1093027910.0,0,afternoon,3,LOW,12000.0,12000.0,당신이나보다행복하길바래,4604090.0,1
1093291681.0,0,afternoon,4,LOW,87000.0,87000.0,엑스포 해물예찬,4646880.0,1
1093292002.0,0,night,3,LOW,19000.0,19000.0,페이장,3160050.0,2
1093307119.0,1,afternoon,2,LOW,10000.0,10000.0,천안옛날호두과자외암마을점,3015034.0,1
1093521639.0,0,night,2,LOW,100000.0,100000.0,두놈,3164033.0,2
1094509177.0,0,afternoon,2,LOW,23000.0,23000.0,샘샘커피,4598394.0,1
1094509177.0,0,morning,4,LOW,53500.0,26750.0,샘샘커피,4598394.0,1
1098120092.0,0,afternoon,2,LOW,18800.0,9400.0,망향주유소,4550109.0,1
1098120092.0,0,morning,12,MEDIUM,32800.0,6560.0,망향주유소,4550109.0,1
1098120092.0,1,afternoon,6,LOW,21500.0,7166.666666666667,망향주유소,4550109.0,1
1098120092.0,1,morning,12,MEDIUM,40000.0,6666.666666666667,망향주유소,4550109.0,1
1098120092.0,1,night,2,LOW,19000.0,19000.0,망향주유소,4550109.0,1
1098652250.0,1,afternoon,2,LOW,21442.0,21442.0,전주한옥레일바이크(주),2266002.0,3
1102354044.0,1,afternoon,2,LOW,21800.0,21800.0,퐁당,3000189.0,1
1102550979.0,1,night,1,LOW,12000.0,12000.0,유달갈비탕,3281095.0,1
1102551172.0,1,afternoon,2,LOW,24000.0,24000.0,보릿고개,4517707.0,1
1102955287.0,1,afternoon,2,LOW,19500.0,19500.0,노드그라운즈,4649720.0,1
1103071186.0,0,afternoon,2,LOW,24000.0,24000.0,BHC치킨,4169300.0,1
1103094777.0,1,afternoon,2,LOW,7500.0,7500.0,미소레,3012001.0,2
1103951067.0,1,afternoon,1,LOW,37000.0,37000.0,말리화,4277186.0,1
1104080869.0,0,morning,2,LOW,19000.0,19000.0,하멜샌드,3282059.0,2
1104418489.0,1,afternoon,2,LOW,19500.0,19500.0,서브웨이,3255045.0,1
1104473221.0,0,afternoon,2,LOW,15200.0,15200.0,오래된 미래(작은책방),4595183.0,2
1105201912.0,1,night,4,LOW,30000.0,30000.0,토마토(전주 객사점),4598336.0,2
1108511913.0,0,afternoon,3,LOW,46170.0,46170.0,(주)현대백화점,3005057.0,2
1108533765.0,1,night,6,LOW,65000.0,65000.0,산애들길현식탁,3352712.0,1
1108610100.0,0,afternoon,3,LOW,23770.0,23770.0,갤러리아 백화점,3177022.0,2
1109268694.0,1,afternoon,2,LOW,35000.0,35000.0,충일이네,3262007.0,2
1109642047.0,1,afternoon,1,LOW,5000.0,5000.0,지우팜,4364471.0,2
1110940377.0,1,afternoon,3,LOW,52000.0,52000.0,등구재황토방식당,4613689.0,1
1110999335.0,0,afternoon,2,LOW,6000.0,3000.0,처비칙스,4295572.0,2
1110999335.0,1,afternoon,3,LOW,18800.0,9400.0,처비칙스,4295572.0,2
1111628196.0,0,afternoon,3,LOW,18500.0,18500.0,카페 장은리,3015029.0,1
1111813566.0,1,afternoon,4,LOW,46000.0,46000.0,황제돈가스앤커피,3219054.0,1
1112275841.0,1,night,4,LOW,53000.0,53000.0,청평식당,3270024.0,1
1112276613.0,1,night,2,LOW,38400.0,38400.0,효자동솥뚜껑,4853198.0,1
1112293188.0,1,morning,2,LOW,2500.0,2500.0,완도수목원특산품매점,4854478.0,1
1112628517.0,1,afternoon,2,LOW,19700.0,19700.0,유부신조,3249073.0,1
1112695068.0,0,afternoon,2,LOW,5500.0,5500.0,커피베이,3288005.0,1
1113166169.0,1,afternoon,2,LOW,4300.0,4300.0,호텔오브제,3010004.0,1
1113166927.0,0,night,2,LOW,32000.0,32000.0,남노갈비,2266001.0,1
1113475072.0,1,morning,2,LOW,4800.0,4800.0,세븐일레븐,4580731.0,1
1113615419.0,0,morning,2,LOW,17200.0,17200.0,그라제,4640027.0,1
1113733582.0,0,afternoon,1,LOW,2500.0,2500.0,마카롱상점,4289321.0,1
1113753443.0,1,night,4,LOW,46000.0,23000.0,꿀도야떡갈비,4853846.0,2
1113867570.0,1,afternoon,2,LOW,22300.0,22300.0,후토루,4277186.0,1
1114618171.0,1,afternoon,8,LOW,29000.0,29000.0,삼대냉면,4556104.0,1
1115500523.0,1,afternoon,2,LOW,40000.0,40000.0,두메골 마늘보쌈,3248023.0,1
1115500523.0,1,night,2,LOW,34000.0,34000.0,두메골 마늘보쌈,3248023.0,1
1115700551.0,0,night,3,LOW,45000.0,45000.0,지복점,4598394.0,1
1115700551.0,1,night,2,LOW,30000.0,30000.0,지복점,4598394.0,1
1117700239.0,0,morning,4,LOW,56000.0,56000.0,율포봇재가든,3017028.0,1
1117700239.0,1,morning,4,LOW,47000.0,47000.0,율포봇재가든,3017028.0,1
1118192677.0,0,morning,7,LOW,44000.0,22000.0,(주)청산수목원,4592208.0,3
1118509443.0,0,afternoon,4,LOW,47230.0,47230.0,GS THE FRESH,3005055.0,1
1119087365.0,0,afternoon,1,LOW,32000.0,32000.0,금동수산(동부시장),4643511.0,2
1119619229.0,1,afternoon,2,LOW,4000.0,4000.0,진아네,4304320.0,1
1119687315.0,1,afternoon,4,LOW,36500.0,36500.0,디아트엘,3263062.0,1
1120789350.0,0,afternoon,5,LOW,24800.0,24800.0,59쌀피자,3238029.0,1
1120895465.0,0,night,1,LOW,15200.0,15200.0,GS25,3282043.0,2
1121064776.0,0,afternoon,1,LOW,11500.0,11500.0,헤이믈,4857894.0,1
1121933621.0,1,afternoon,7,LOW,93000.0,23250.0,유가네칼국수,4553919.0,1
1121933621.0,1,night,4,LOW,48000.0,48000.0,유가네칼국수,4553919.0,1
1122121870.0,1,night,2,LOW,67000.0,67000.0,상무냉삼,3160023.0,1
1122464899.0,0,afternoon,2,LOW,13000.0,13000.0,역전우동,4295569.0,1
1123081244.0,1,night,2,LOW,10000.0,10000.0,바이젠하우스with나우,4553633.0,1
1123581007.0,0,afternoon,3,LOW,49000.0,49000.0,하루일기,4598258.0,2
1123852503.0,1,afternoon,2,LOW,30000.0,30000.0,불타는청춘조개구이회센터,4595324.0,1
1124067824.0,1,afternoon,2,LOW,5000.0,5000.0,빽다방,3249048.0,1
1128131178.0,0,afternoon,22,MEDIUM,267500.0,29722.222222222223,아르떼뮤지엄여수,4647160.0,3
1128131178.0,0,morning,10,MEDIUM,144000.0,48000.0,아르떼뮤지엄여수,4647160.0,3
1128131178.0,0,night,2,LOW,34000.0,34000.0,아르떼뮤지엄여수,4647160.0,3
1128131178.0,1,afternoon,18,MEDIUM,210000.0,26250.0,아르떼뮤지엄여수,4647160.0,3
1128131178.0,1,morning,14,MEDIUM,216000.0,72000.0,아르떼뮤지엄여수,4647160.0,3
1128514726.0,0,night,3,LOW,5900.0,5900.0,휘게문고,3010024.0,2
1128514726.0,1,night,7,LOW,22500.0,22500.0,휘게문고,3010024.0,2
1130823265.0,1,afternoon,3,LOW,15500.0,15500.0,홍주약국,3254216.0,2
1132801309.0,1,afternoon,2,LOW,10000.0,10000.0,큰맘할매순대국,4691229.0,1
1134100672.0,0,night,2,LOW,46500.0,46500.0,채석강맛집,3280037.0,1
1134100672.0,1,afternoon,3,LOW,57500.0,57500.0,채석강맛집,3280037.0,1
1135400537.0,1,night,4,LOW,8850.0,8850.0,이마트24,3264036.0,1
1138521083.0,0,afternoon,2,LOW,82000.0,82000.0,위대한상상,4163404.0,3
1138521083.0,1,night,7,LOW,49000.0,24500.0,위대한상상,4163404.0,3
1138534012.0,1,afternoon,2,LOW,16000.0,16000.0,(주)비니더스코리아,4346052.0,2
1138638602.0,0,afternoon,12,MEDIUM,55400.0,7914.285714285715,주식회사 스마틱스,3000028.0,3
1138638602.0,0,dawn,3,LOW,10000.0,10000.0,주식회사 스마틱스,3000028.0,3
1138638602.0,0,morning,2,LOW,19800.0,19800.0,주식회사 스마틱스,3000028.0,3
1138638602.0,1,afternoon,10,MEDIUM,66800.0,16700.0,주식회사 스마틱스,3000028.0,3
1140437333.0,0,morning,1,LOW,1000.0,1000.0,이마트24,3121017.0,1
1140437333.0,1,afternoon,1,LOW,1000.0,1000.0,이마트24,3121017.0,1
1140649930.0,0,night,2,LOW,16500.0,16500.0,태안캠핑농원,4592131.0,2
1141446689.0,1,afternoon,3,LOW,80000.0,80000.0,김수환식당,4172185.0,1
1141635191.0,0,morning,1,LOW,5900.0,5900.0,던킨도터츠,3121017.0,2
